win_id,target,x_img_px,y_img_px,x_win_px,y_win_px,x_um,y_um
A1_w1,1,185.00232614160163,153.94324810042949,148.00232614160163,116.94324810042949,430.35334877222846,902.5753613320046
A1_w1,2,273.3091214870679,249.57108876814905,236.3091214870679,212.57108876814905,454.5283289642374,928.7545601683192
A1_w1,3,372.66608694047596,244.4512754937615,335.66608694047596,207.4512754937615,481.72841772725445,927.3529535987354
A1_w1,4,121.10958399103734,273.2879666106699,84.10958399103734,236.2879666106699,412.8619907192003,935.2473226994043
A1_w1,5,56.1170021380791,325.7761757194916,19.1170021380791,288.7761757194916,395.0695391555795,949.616561335635
A1_w1,6,104.46577952026068,174.7421621840502,67.46577952026068,137.7421621840502,408.3055617170312,908.2692984069462
A1_w1,7,248.03628434771997,355.930699876728,211.03628434771997,318.930699876728,447.60960504441425,957.8717020793204
A1_w1,8,337.644620838296,137.74497656334972,300.644620838296,100.74497656334972,472.1408967895605,898.1409019903227
A1_w1,9,185.92026604149854,229.05703095174383,148.92026604149854,192.05703095174383,430.60464516239466,923.1386057060472
A1_w1,10,167.14890558711377,66.31906554179292,130.14890558711377,29.319065541792924,425.4657737382137,878.587254081493
A1_w2,1,287.9376781366161,136.12644894038198,250.9376781366161,99.12644894038198,679.4584037618337,501.56525824672485
A1_w2,2,335.2562495113173,227.1262399827854,298.2562495113173,190.1262399827854,692.4123958212488,526.4774763531653
A1_w2,3,55.46485654997992,100.25822705548391,18.46485654997992,63.258227055483914,615.8163495456073,491.74592837298474
A1_w2,4,324.01041142354296,318.41235604867865,287.01041142354296,281.41235604867865,689.3337209361405,551.468079160854
A1_w2,5,187.55159122440102,234.2943995449582,150.55159122440102,197.2943995449582,651.9765814041991,528.4398407980617
A1_w2,6,145.6151064649876,110.94340267078127,108.6151064649876,73.94340267078127,640.4959961965133,494.6711155891825
A1_w2,7,260.9514316962409,234.58077552522613,223.9514316962409,197.58077552522613,672.0706147406092,528.5182394493021
A1_w2,8,82.3292888866838,305.3616830741581,45.3292888866838,268.3616830741581,623.1707905834535,547.8953103901479
A1_w2,9,93.32037258441838,171.64634161280253,56.32037258441838,134.64634161280253,626.1797235839317,511.2892290738707
A1_w2,10,198.204477405585,353.9884943313517,161.204477405585,316.9884943313517,654.8929290239984,561.2074478575344
A1_w3,1,75.90300091287101,141.59860422659568,38.90300091287101,104.59860422659568,817.1508278591557,226.83820385440646
A1_w3,2,207.47748431652053,57.7519422740516,170.47748431652053,20.7519422740516,853.1708251607603,203.88423543171595
A1_w3,3,244.0211055579688,289.05804516883364,207.0211055579688,252.05804516883364,863.175053218184,267.206887260449
A1_w3,4,168.8733658916496,373.9600623163101,131.8733658916496,336.9600623163101,842.6025127834372,290.44977105860085
A1_w3,5,366.1834217169889,200.73103472029976,329.1834217169889,163.73103472029976,896.6183636882414,243.0263729562086
A1_w3,6,372.44650912753866,117.43176994260016,335.44650912753866,80.43176994260016,898.3329544340445,220.2222606777396
