win_id,archetype,rater,method,n_points,n_obj,tp_obs,f1_obs,precision_obs,tp_null_mean,f1_null_mean,f1_null_sd,precision_null_mean,f1_gain
A1_w1,A1,Luca,cellpose_rgb,162,154,132,0.8354430379746836,0.8571428571428571,54.65,0.34588607594936704,0.024859402757585875,0.35487012987012984,0.4895569620253165
A1_w1,A1,Luca,stardist_he,162,86,79,0.6370967741935484,0.9186046511627907,30.75,0.24798387096774194,0.03323862499363085,0.35755813953488375,0.38911290322580644
A1_w1,A1,model:deepseek_flash_nothink,cellpose_rgb,147,154,66,0.43853820598006643,0.42857142857142855,48.55,0.32259136212624584,0.029898486469423946,0.31525974025974024,0.11594684385382059
A1_w1,A1,model:deepseek_flash_nothink,stardist_he,147,86,40,0.34334763948497854,0.46511627906976744,27.0,0.23175965665236048,0.04308978677428715,0.313953488372093,0.11158798283261806
A1_w1,A1,model:deepseek_flash_think,cellpose_rgb,195,154,80,0.4584527220630373,0.5194805194805194,62.2,0.3564469914040115,0.024420946421389703,0.4038961038961039,0.1020057306590258
A1_w1,A1,model:deepseek_flash_think,stardist_he,195,86,39,0.2775800711743772,0.45348837209302323,36.5,0.25978647686832745,0.03611705183306839,0.42441860465116277,0.017793594306049765
A1_w1,A1,model:gpt6_astra,cellpose_rgb,145,154,115,0.7692307692307693,0.7467532467532467,49.8,0.3331103678929766,0.02980907017412333,0.3233766233766234,0.4361204013377927
A1_w1,A1,model:gpt6_astra,stardist_he,145,86,74,0.6406926406926406,0.8604651162790697,27.8,0.2406926406926407,0.03303685546032712,0.3232558139534884,0.3999999999999999
A1_w2,A1,Luca,cellpose_rgb,95,92,70,0.7486631016042781,0.7608695652173914,21.9,0.23422459893048128,0.030793968019011696,0.23804347826086955,0.5144385026737968
A1_w2,A1,Luca,stardist_he,95,38,33,0.49624060150375937,0.868421052631579,9.55,0.143609022556391,0.037886083270207885,0.2513157894736842,0.3526315789473684
A1_w2,A1,model:deepseek_flash_nothink,cellpose_rgb,58,92,12,0.16,0.13043478260869565,14.2,0.18933333333333335,0.03115552385479446,0.15434782608695652,-0.02933333333333335
A1_w2,A1,model:deepseek_flash_nothink,stardist_he,58,38,5,0.10416666666666667,0.13157894736842105,5.65,0.11770833333333333,0.02574834811314224,0.1486842105263158,-0.01354166666666666
A1_w2,A1,model:deepseek_flash_think,cellpose_rgb,110,92,24,0.2376237623762376,0.2608695652173913,23.5,0.2326732673267327,0.03671385389651318,0.2554347826086957,0.004950495049504899
A1_w2,A1,model:deepseek_flash_think,stardist_he,110,38,10,0.13513513513513514,0.2631578947368421,11.1,0.15,0.034426322169883776,0.2921052631578947,-0.014864864864864852
A1_w2,A1,model:gpt6_astra,cellpose_rgb,145,92,68,0.5738396624472574,0.7391304347826086,34.4,0.29029535864978906,0.03749343441607268,0.3739130434782609,0.2835443037974683
A1_w2,A1,model:gpt6_astra,stardist_he,145,38,30,0.32786885245901637,0.7894736842105263,13.8,0.15081967213114758,0.03568268353511368,0.3631578947368421,0.1770491803278688
A1_w3,A1,Luca,cellpose_rgb,142,147,125,0.8650519031141869,0.8503401360544217,49.0,0.3391003460207612,0.032013933581232876,0.3333333333333333,0.5259515570934257
A1_w3,A1,Luca,stardist_he,142,64,58,0.5631067961165048,0.90625,21.9,0.21262135922330097,0.0333364751716299,0.3421875,0.3504854368932039
A1_w3,A1,model:deepseek_flash_nothink,cellpose_rgb,154,147,66,0.43853820598006643,0.4489795918367347,52.2,0.346843853820598,0.03661123538592933,0.35510204081632657,0.09169435215946842
A1_w3,A1,model:deepseek_flash_nothink,stardist_he,154,64,32,0.29357798165137616,0.5,24.25,0.2224770642201835,0.02226070744688244,0.37890625,0.07110091743119265
A1_w3,A1,model:deepseek_flash_think,cellpose_rgb,230,147,86,0.4562334217506631,0.5850340136054422,70.05,0.3716180371352785,0.028493299065977026,0.47653061224489796,0.08461538461538459
A1_w3,A1,model:deepseek_flash_think,stardist_he,230,64,44,0.29931972789115646,0.6875,32.5,0.22108843537414966,0.019774750821426716,0.5078125,0.0782312925170068
A1_w3,A1,model:gpt6_astra,cellpose_rgb,183,147,111,0.6727272727272727,0.7551020408163265,60.3,0.36545454545454553,0.026004167215666587,0.41020408163265304,0.3072727272727272
A1_w3,A1,model:gpt6_astra,stardist_he,183,64,51,0.41295546558704455,0.796875,29.2,0.23643724696356277,0.032348152802329035,0.45625,0.17651821862348177
A1_w4,A1,Luca,cellpose_rgb,97,99,77,0.7857142857142857,0.7777777777777778,22.45,0.22908163265306122,0.04150879434926848,0.22676767676767676,0.5566326530612244
A1_w4,A1,Luca,stardist_he,97,38,32,0.4740740740740741,0.8421052631578947,9.75,0.14444444444444443,0.02766644355108608,0.2565789473684211,0.32962962962962966
A1_w4,A1,model:deepseek_flash_nothink,cellpose_rgb,58,99,8,0.10191082802547771,0.08080808080808081,13.6,0.17324840764331212,0.026538428861146064,0.13737373737373737,-0.0713375796178344
