win_id,archetype,rater_a,rater_b,n_a,n_b,rel_diff,tp_3um,f1_3um,tp_5um,f1_5um
A5_w4,A5,Luca,model:gpt6_astra,84,139,0.49327354260089684,57,0.5112107623318386,64,0.5739910313901345
A5_w4,A5,model:deepseek_flash_nothink,model:deepseek_flash_think,111,194,0.5442622950819672,15,0.09836065573770492,36,0.2360655737704918
A5_w4,A5,model:deepseek_flash_nothink,model:gpt6_astra,111,139,0.224,9,0.072,22,0.176
A5_w4,A5,model:deepseek_flash_think,model:gpt6_astra,194,139,0.3303303303303303,14,0.08408408408408409,28,0.16816816816816818
A6_w1,A6,Luca,model:deepseek_flash_nothink,51,70,0.3140495867768595,2,0.03305785123966942,8,0.1322314049586777
A6_w1,A6,Luca,model:deepseek_flash_think,51,107,0.7088607594936709,4,0.05063291139240506,10,0.12658227848101267
A6_w1,A6,Luca,model:gpt6_astra,51,77,0.40625,41,0.640625,46,0.71875
A6_w1,A6,model:deepseek_flash_nothink,model:deepseek_flash_think,70,107,0.4180790960451977,3,0.03389830508474576,5,0.05649717514124294
A6_w1,A6,model:deepseek_flash_nothink,model:gpt6_astra,70,77,0.09523809523809523,2,0.027210884353741496,9,0.12244897959183673
A6_w1,A6,model:deepseek_flash_think,model:gpt6_astra,107,77,0.32608695652173914,5,0.05434782608695652,16,0.17391304347826086
A6_w2,A6,Luca,model:deepseek_flash_nothink,60,69,0.13953488372093023,2,0.031007751937984496,5,0.07751937984496124
A6_w2,A6,Luca,model:deepseek_flash_think,60,146,0.8349514563106796,1,0.009708737864077669,6,0.05825242718446602
A6_w2,A6,Luca,model:gpt6_astra,60,70,0.15384615384615385,49,0.7538461538461538,53,0.8153846153846154
A6_w2,A6,model:deepseek_flash_nothink,model:deepseek_flash_think,69,146,0.7162790697674418,3,0.027906976744186046,13,0.12093023255813953
A6_w2,A6,model:deepseek_flash_nothink,model:gpt6_astra,69,70,0.014388489208633094,2,0.02877697841726619,4,0.05755395683453238
A6_w2,A6,model:deepseek_flash_think,model:gpt6_astra,146,70,0.7037037037037037,2,0.018518518518518517,9,0.08333333333333333
A6_w3,A6,Luca,model:deepseek_flash_nothink,62,69,0.10687022900763359,3,0.04580152671755725,6,0.0916030534351145
A6_w3,A6,Luca,model:gpt6_astra,62,77,0.2158273381294964,50,0.7194244604316546,54,0.7769784172661871
A6_w3,A6,model:deepseek_flash_nothink,model:gpt6_astra,69,77,0.1095890410958904,3,0.0410958904109589,8,0.1095890410958904
A6_w4,A6,Luca,model:deepseek_flash_nothink,69,68,0.014598540145985401,5,0.072992700729927,13,0.1897810218978102
A6_w4,A6,Luca,model:deepseek_flash_think,69,256,1.1507692307692308,4,0.024615384615384615,20,0.12307692307692308
A6_w4,A6,Luca,model:gpt6_astra,69,78,0.12244897959183673,43,0.5850340136054422,53,0.7210884353741497
A6_w4,A6,model:deepseek_flash_nothink,model:deepseek_flash_think,68,256,1.1604938271604939,9,0.05555555555555555,24,0.14814814814814814
A6_w4,A6,model:deepseek_flash_nothink,model:gpt6_astra,68,78,0.136986301369863,10,0.136986301369863,15,0.2054794520547945
A6_w4,A6,model:deepseek_flash_think,model:gpt6_astra,256,78,1.0658682634730539,8,0.04790419161676647,28,0.16766467065868262
