win_id,md5_run1,md5_run2,identical
A1_w1,c8ddb3b5e8634843de95544a29b99840,c8ddb3b5e8634843de95544a29b99840,True
A1_w2,6892119176a377cc0af11b39d94129c5,6892119176a377cc0af11b39d94129c5,True
A1_w3,3764980fd6a96604ce24ab4d82e84990,3764980fd6a96604ce24ab4d82e84990,True
A1_w4,1f27466f6998995703215891d0a11773,1f27466f6998995703215891d0a11773,True
A2_w1,132fcaede662e77f3088d54ddcb9d19d,132fcaede662e77f3088d54ddcb9d19d,True
A2_w2,25379eff99d10edbd6846b4632abae1c,25379eff99d10edbd6846b4632abae1c,True
A2_w3,f5e29dc0b71b04f6c586c6c8f2a27f9c,f5e29dc0b71b04f6c586c6c8f2a27f9c,True
A2_w4,c986e3d40ffa1485fefaa803a7cf4041,c986e3d40ffa1485fefaa803a7cf4041,True
A3_w1,cced2e7e58ff26203f0a831bf0f09a0d,cced2e7e58ff26203f0a831bf0f09a0d,True
A3_w2,f3409d4e0127cf7be1c08cbb1e3ce9ec,f3409d4e0127cf7be1c08cbb1e3ce9ec,True
A3_w3,d42c36f86ddc939c738cab19b8302e1a,d42c36f86ddc939c738cab19b8302e1a,True
A3_w4,baa2b32d607274ec9f7ad61196644f7d,baa2b32d607274ec9f7ad61196644f7d,True
A4_w1,0061c31eae566e3c7dba940da4b008db,0061c31eae566e3c7dba940da4b008db,True
A4_w2,1e594a9a0c743a3f692a4cc7fb468720,1e594a9a0c743a3f692a4cc7fb468720,True
A4_w3,0fbd14649affcc91e2377d74438d1a33,0fbd14649affcc91e2377d74438d1a33,True
A4_w4,e024099f774e4d2c5665152dc9c05619,e024099f774e4d2c5665152dc9c05619,True
A5_w1,11577e5e44b5f244c6dc41140ffacc99,11577e5e44b5f244c6dc41140ffacc99,True
A5_w2,cf57bfa949238d71da61e9c09a57f283,cf57bfa949238d71da61e9c09a57f283,True
A5_w3,9e0035ee2b1e135cf36baa071c0fd875,9e0035ee2b1e135cf36baa071c0fd875,True
A5_w4,3d46ae312f65acb2f1e93ddffa80a7b3,3d46ae312f65acb2f1e93ddffa80a7b3,True
A6_w1,43e236747949e9d7b151948635c5ca7c,43e236747949e9d7b151948635c5ca7c,True
A6_w2,ad2638d50e520402110b12292de31ce0,ad2638d50e520402110b12292de31ce0,True
A6_w3,72fa209e587c263940a5cf324f12cc20,72fa209e587c263940a5cf324f12cc20,True
A6_w4,0c5582123242f4da1944d9b45f074dc6,0c5582123242f4da1944d9b45f074dc6,True
