win_id,archetype,kind,cls,matched_any3,od_in,od_ring,od_contrast,x,y
A1_w1,A1,manual,matched,True,0.07556369744235977,0.022527198138338967,0.05303649930402081,38.61137629276054,17.132856006364356
A1_w1,A1,manual,matched,True,0.05666818431015262,0.0303269715129025,0.026341212797250123,14.862768496420044,31.10262529832936
A1_w1,A1,manual,matched,True,0.0716934266193355,0.021462268491750026,0.05023115812758548,86.10859188544153,11.544948289578358
A1_w1,A1,manual,matched,True,0.049284704887512125,0.027381206471760018,0.021903498415752107,64.8046937151949,17.831344470962605
A1_w1,A1,manual,matched,True,0.0431267945568419,0.03596853509083154,0.007158259466010362,57.12132060461416,27.260938743038977
A1_w1,A1,manual,matched,True,0.04555285587031152,0.02314033440597786,0.02241252146433366,77.3774860779634,33.547334924423225
A1_w1,A1,manual,missed_both,False,0.025125851121249123,0.029873451586725126,-0.004747600465476003,58.169053301511525,43.67541766109785
A1_w1,A1,manual,matched,True,0.05619054445766893,0.018039608685623938,0.038150935772044994,22.19689737470167,65.3285600636436
A1_w1,A1,manual,matched,True,0.03534957695873409,0.02551087256875957,0.009838704389974522,78.07597454256165,58.34367541766109
A1_w1,A1,manual,matched,True,0.028831548987376207,0.01901882491853784,0.009812724068838367,129.41487669053302,59.74065234685759
A1_w1,A1,manual,missed_both,False,0.030471038233689768,0.026256424216229333,0.004214614017460434,114.74661893396976,59.04216388225935
A1_w1,A1,manual,matched,True,0.0651198540904103,0.022692707475525927,0.042427146614884365,129.41487669053302,37.03977724741448
A1_w1,A1,manual,matched,True,0.046305238769905936,0.01720337362212445,0.029101865147781486,111.2541766109785,40.88146380270484
A1_w1,A1,manual,matched,True,0.07327087752343005,0.026712104956487934,0.046558772566942117,154.56046141607,13.640413683373112
A1_w1,A1,manual,matched,True,0.047256767367313574,0.029014109862403877,0.018242657504909696,172.7211614956245,23.419252187748604
A1_w1,A1,manual,matched,True,0.06804714336705932,0.03752679397065323,0.03052034939640609,170.62569610182973,5.957040572792359
A1_w1,A1,manual,matched,True,0.04714151723508206,0.03491797771238258,0.01222353952269948,141.6384248210024,18.879077167859982
A1_w1,A1,manual,matched,True,0.04737301330252395,0.023267481904477198,0.02410553139804675,202.05767700875097,19.228321400159103
A1_w1,A1,manual,matched,True,0.056428138730567734,0.023592883778352378,0.032835254952215356,190.18337311058076,22.022275258552103
A1_w1,A1,manual,missed_both,False,0.024393745708406425,0.01708257936185379,0.007311166346552635,219.17064439140808,28.308671439936347
A1_w1,A1,manual,matched,True,0.05962515673088502,0.011165007907104221,0.048460148823780795,229.64797136038183,22.022275258552103
A1_w1,A1,manual,matched,True,0.05774261810314598,0.007599404775179384,0.0501432133279666,238.37907716786,16.08512330946698
A1_w1,A1,manual,matched,True,0.04609385025269452,0.004629106743789188,0.041464743508905326,282.3838504375497,26.56245027844073
A1_w1,A1,manual,matched,True,0.05274601224161457,0.042926684213751946,0.009819328027862624,340.70763723150355,25.16547334924423
A1_w1,A1,manual,matched,True,0.031310058114715086,0.03160451099132761,-0.0002944528766125262,335.46897374701666,55.89896579156722
A1_w1,A1,manual,matched,True,0.06047026395358767,0.028700549837020424,0.031769714116567246,324.64240254574383,35.64280031821798
A1_w1,A1,manual,matched,True,0.046327806737957215,0.01628575437526064,0.030042052362696574,304.0369928400954,92.91885441527448
A1_w1,A1,manual,matched,True,0.045904998055101905,0.013876584219339282,0.032028413835762624,282.0346062052505,87.33094669848846
A1_w1,A1,manual,matched,True,0.03781611220898706,0.01350249736280163,0.02431361484618543,256.19053301511536,95.36356404136832
A1_w1,A1,manual,matched,True,0.04484015740155357,0.017797787833807532,0.027042369567746034,264.5723945902943,118.76292760540969
A1_w1,A1,manual,matched,True,0.0454322788745013,0.02163464839164178,0.023797630482859516,246.760938743039,114.92124105011932
A1_w1,A1,manual,matched,True,0.03967006040177686,0.015259641774678645,0.024410418627098217,302.2907716785998,191.0564836913285
A1_w1,A1,manual,matched,True,0.03756492920911493,0.03146500967919487,0.0060999195299200615,308.22792362768496,173.94351630867143
A1_w1,A1,manual,matched,True,0.04368574328625658,0.024858146575701495,0.018827596710555086,291.8134447096261,162.41845664280032
A1_w1,A1,manual,matched,True,0.055531768793821934,0.021155443504099918,0.034376325289722016,274.35123309466985,136.57438345266507
A1_w1,A1,manual,matched,True,0.047157242750939916,0.02290829157764002,0.024248951173299896,287.9717581543357,135.17740652346856
A1_w1,A1,manual,matched,True,0.03586806897002339,0.024985244965742046,0.010882824004281345,301.9415274463007,134.82816229116943
A1_w1,A1,manual,matched,True,0.04987831961390624,0.0307659341124611,0.01911238550144514,322.54693715194907,134.4789180588703
A1_w1,A1,manual,matched,True,0.04719584379558481,0.02317437376439851,0.024021470031186296,331.97653142402544,157.8782816229117
A1_w1,A1,manual,matched,True,0.05169600342861413,0.032909638569893866,0.01878636485872026,309.97414478918057,152.2903739061257
A1_w1,A1,manual,matched,True,0.04718630887634374,0.02960507182856864,0.017581237047775096,316.2605409705648,166.95863166268893
A1_w1,A1,manual,missed_both,False,0.0384667802275819,0.025874625081883575,0.012592155145698322,342.4538583929992,130.98647573587908
A1_w1,A1,manual,matched,True,0.029932414019970724,0.011207385050642001,0.018725028969328723,357.12211614956243,162.41845664280032
A1_w1,A1,manual,matched,True,0.054090484172555735,0.02872826022937853,0.025362223943177206,4.385441527446297,190.3579952267303
A1_w1,A1,manual,matched,True,0.06406628608627601,0.02549603320777765,0.038570252878498364,14.862768496420044,190.70723945902944
A1_w1,A1,manual,matched,True,0.04099201077889951,0.013242938685144815,0.027749072093754695,23.24463007159904,164.16467780429593
A1_w1,A1,manual,matched,True,0.06657417502994048,0.02022156006240176,0.046352614967538716,49.08870326173428,136.22513922036595
A1_w1,A1,manual,matched,True,0.046733858127292076,0.021364235990109993,0.025369622137182083,31.975735879077163,139.01909307875894
A1_w1,A1,manual,matched,True,0.05473715919874976,0.028919593722847813,0.025817565475901947,34.07120127287192,108.9840891010342
A1_w1,A1,manual,matched,True,0.0425313119609094,0.026598196069303318,0.015933115891606085,37.21439936356404,93.96658711217182
A1_w1,A1,manual,matched,True,0.07237196511027451,0.014835776481426834,0.05753618862884767,11.719570405727922,106.1901352426412
A1_w1,A1,manual,matched,True,0.06642701752020956,0.03381745687281751,0.03260956064739205,64.10620525059666,100.25298329355608
A1_w1,A1,manual,matched,True,0.04700418665496577,0.038742059377400676,0.008262127277565097,51.18416865552904,110.03182179793156
A1_w1,A1,manual,matched,True,0.06364069854518385,0.03711297366222907,0.02652772488295478,79.12370723945902,113.87350835322196
A1_w1,A1,manual,matched,True,0.0529535445386841,0.033688488260928975,0.019265056277755127,85.7593476531424,95.36356404136832
A1_w1,A1,manual,missed_both,False,0.038438483838485596,0.03438328859583878,0.004055195242646817,102.5230708035004,88.72792362768496
A1_w1,A1,manual,matched,True,0.0504436069560151,0.03206142676243395,0.01838218019358115,122.0807478122514,87.33094669848846
A1_w1,A1,manual,matched,True,0.0536970554540087,0.025376083057936993,0.028320972396071706,140.24144789180588,103.74542561654732
A1_w1,A1,manual,matched,True,0.04571914542036996,0.024890882459938337,0.02082826296043162,159.44988066825775,84.88623707239458
A1_w1,A1,manual,matched,True,0.045363114912778064,0.018017716831910502,0.027345398080867563,161.89459029435162,110.03182179793156
