archetype,rater,method,f1_obs,f1_null,precision_obs,precision_null,n_points,n_obj,f1_gain,CP-R2b.4
A1,Luca,cellpose_rgb,0.8178137651821862,0.29959514170040485,0.8211382113821138,0.3008130081300813,496.0,492.0,0.5182186234817814,PASS
A1,Luca,stardist_he,0.5595567867036011,0.1993074792243767,0.8938053097345132,0.318362831858407,496.0,226.0,0.3602493074792244,PASS
A1,model:deepseek_flash_nothink,cellpose_rgb,0.33443344334433445,0.2828382838283829,0.3089430894308943,0.26128048780487806,417.0,492.0,0.05159515951595156,FAIL
A1,model:deepseek_flash_nothink,stardist_he,0.25194401244167963,0.19517884914463451,0.3584070796460177,0.2776548672566372,417.0,226.0,0.05676516329704512,FAIL
A1,model:deepseek_flash_think,cellpose_rgb,0.37174095878889823,0.3201009251471825,0.4491869918699187,0.3867886178861789,697.0,492.0,0.05164003364171571,FAIL
A1,model:deepseek_flash_think,stardist_he,0.2296858071505959,0.20747562296858071,0.4690265486725664,0.42367256637168144,697.0,226.0,0.022210184182015175,FAIL
A1,model:gpt6_astra,cellpose_rgb,0.6684350132625995,0.3152077807250221,0.7682926829268293,0.3622967479674797,639.0,492.0,0.3532272325375774,PASS
A1,model:gpt6_astra,stardist_he,0.4323699421965318,0.1994219653179191,0.827433628318584,0.38163716814159293,639.0,226.0,0.2329479768786127,PASS
A2,Luca,cellpose_rgb,0.783157894736842,0.2905263157894737,0.851258581235698,0.3157894736842105,513.0,437.0,0.49263157894736836,PASS
A2,Luca,spaceranger,0.7282157676348547,0.2827800829875519,0.7782705099778271,0.30221729490022176,513.0,451.0,0.4454356846473028,PASS
A2,Luca,stardist_he,0.5498652291105122,0.18504043126684638,0.8908296943231441,0.2997816593886463,513.0,229.0,0.3648247978436658,PASS
A2,model:deepseek_flash_nothink,cellpose_rgb,0.2584856396866841,0.24177545691906008,0.22654462242562928,0.2118993135011442,329.0,437.0,0.01671018276762401,FAIL
A2,model:deepseek_flash_nothink,spaceranger,0.26666666666666666,0.24435897435897433,0.23059866962305986,0.2113082039911308,329.0,451.0,0.022307692307692334,FAIL
A2,model:deepseek_flash_nothink,stardist_he,0.20430107526881722,0.1788530465949821,0.24890829694323144,0.2179039301310044,329.0,229.0,0.02544802867383511,FAIL
A2,model:deepseek_flash_think,cellpose_rgb,0.35701598579040855,0.29964476021314385,0.459954233409611,0.3860411899313501,689.0,437.0,0.057371225577264706,FAIL
A2,model:deepseek_flash_think,spaceranger,0.35964912280701755,0.3064912280701754,0.45454545454545453,0.3873614190687361,689.0,451.0,0.053157894736842126,FAIL
A2,model:deepseek_flash_think,stardist_he,0.23965141612200436,0.2019607843137255,0.48034934497816595,0.40480349344978167,689.0,229.0,0.03769063180827886,FAIL
A2,model:gpt6_astra,cellpose_rgb,0.5868498527968596,0.2998037291462218,0.6842105263157895,0.34954233409610985,582.0,437.0,0.28704612365063786,PASS
A2,model:gpt6_astra,spaceranger,0.5730880929332043,0.2951597289448209,0.656319290465632,0.33802660753880265,582.0,451.0,0.2779283639883834,PASS
A2,model:gpt6_astra,stardist_he,0.4241676942046856,0.19099876695437729,0.7510917030567685,0.3382096069868995,582.0,229.0,0.2331689272503083,PASS
A3,Luca,cellpose_rgb,0.7318007662835249,0.1532567049808429,0.7860082304526749,0.1646090534979424,279.0,243.0,0.578544061302682,PASS
A3,Luca,spaceranger,0.622680412371134,0.11134020618556702,0.7330097087378641,0.13106796116504854,279.0,206.0,0.511340206185567,PASS
A3,Luca,stardist_he,0.5661252900232019,0.0988399071925754,0.8026315789473685,0.1401315789473684,279.0,152.0,0.4672853828306265,PASS
A3,model:deepseek_flash_nothink,cellpose_rgb,0.15319148936170213,0.12468085106382978,0.14814814814814814,0.12057613168724281,227.0,243.0,0.028510638297872343,FAIL
A3,model:deepseek_flash_nothink,spaceranger,0.12471131639722864,0.10115473441108544,0.13106796116504854,0.10631067961165049,227.0,206.0,0.023556581986143202,FAIL
A3,model:deepseek_flash_nothink,stardist_he,0.10554089709762533,0.09340369393139843,0.13157894736842105,0.11644736842105265,227.0,152.0,0.012137203166226906,FAIL
