archetype,rater,n_windows,n_manual,area_net_mm2,density_manual,ci_lo,ci_hi,density_mean_windows,density_sd_windows,density_manual_gross,consensus_R2_5roi,consensus_R2_sampled_roi,cellpose_R2_5roi,stardist_R2_5roi,n_obj_cellpose_rgb,density_cellpose_rgb_windows,recall_cellpose_rgb,precision_cellpose_rgb,ghost_cellpose_rgb,n_obj_stardist_he,density_stardist_he_windows,recall_stardist_he,precision_stardist_he,ghost_stardist_he,common_fn_frac_cp_sd,common_fn_frac_all,n_polygons,area_manual_median_um2,n_obj_spaceranger,density_spaceranger_windows,recall_spaceranger,precision_spaceranger,ghost_spaceranger
A1,Luca,4,496,0.039938313809489485,12419.152254799215,11350.110207418616,13561.758235657993,12419.152254799215,3340.817908820778,12419.152254799215,10980.540152481555,11022.21936876113,10581.98424582663,5507.92569401613,492,12318.99780113148,0.8225806451612904,0.8211382113821138,0.17886178861788615,226,5658.726632227062,0.4112903225806452,0.8938053097345132,0.10619469026548678,0.17137096774193547,0.17137096774193547,0,,,,,,
A2,Luca,4,513,0.057485959046261186,8923.918266496501,8168.297206448885,9730.635178202278,8923.918266496501,1152.3158306084672,8923.918266496501,6781.051136307287,6418.519417835057,7789.583643222048,4393.83412688655,437,7601.856301089612,0.7407407407407407,0.851258581235698,0.14874141876430202,229,3983.581448397074,0.40350877192982454,0.8908296943231441,0.10917030567685593,0.2475633528265107,0.17348927875243664,0,,451.0,7845.394031559303,0.6900584795321637,0.7782705099778271,0.2217294900221729
A3,Luca,4,279,0.08998594402445956,3100.484225893808,2747.310660913765,3486.4679576285407,3100.4842258938074,1259.564902715086,3100.484225893808,4016.152089647204,4218.676137567632,4278.211251997192,2616.4316957838355,243,2700.4217451333166,0.6917562724014337,0.7860082304526749,0.21399176954732513,152,1689.1526965442968,0.4444444444444444,0.8026315789473685,0.19736842105263153,0.2867383512544803,0.25448028673835127,0,,206.0,2289.2464176850335,0.5483870967741935,0.7330097087378641,0.2669902912621359
A4,Luca,4,404,0.014379238774874374,28096.06310355811,25422.816366992523,30973.959423039574,28096.06310355811,6412.20837543593,28096.06310355811,23247.287044537876,23840.18554044624,23028.41749452902,20604.52638707946,350,24340.648728330045,0.8564356435643564,0.9485714285714286,0.05142857142857138,314,21837.039144844668,0.7846534653465347,0.9681528662420382,0.031847133757961776,0.12871287128712872,0.04455445544554455,0,,417.0,29000.14434203894,0.943069306930693,0.8848920863309353,0.1151079136690647
A5,Luca,4,296,0.24981895354121725,1184.8580574218258,1053.7087429029787,1327.8190259474925,1184.8580574218256,395.6732714927019,1184.8580574218258,1364.8452989327284,1482.1947874134598,1043.8070235319578,1300.8603968359314,253,1012.7334071882497,0.7668918918918919,0.8932806324110671,0.10671936758893286,307,1228.8899446908802,0.7128378378378378,0.6840390879478827,0.3159609120521173,0.19932432432432431,0.19594594594594594,0,,202.0,808.5855662135432,0.5168918918918919,0.7524752475247525,0.24752475247524752
A6,Luca,4,242,0.2449685699276065,987.8818334593545,867.3277229371826,1120.5056425532898,990.0867265618976,141.9265697962522,968.0787236188405,1077.9450411902856,1116.839257385298,583.6753877097656,886.6721562027815,119,485.77660405645946,0.41735537190082644,0.8235294117647058,0.17647058823529416,202,824.5955799949984,0.7107438016528925,0.8465346534653465,0.1534653465346535,0.19421487603305784,0.08264462809917356,0,,264.0,1077.6892728647504,0.8884297520661157,0.8106060606060606,0.18939393939393945
