"archetype","roi_id","n","n_keep","n_lost_window","intensity_per_mm2","r_inhib_um","g_at_3um","g_at_5um","g_at_10um","g_at_30um","frac_r_below_lo_lt5","nn_median_um","nn_median_csr_um","clark_evans_R","dip_stat","dip_p"
"A1","r1",8739,8739,0,10946.9089999622,3.5,0.820874955976234,1.87417375054415,1.46459094783011,1.17370753818889,0.6,4.55525532206883,4.77885936892018,0.953209745340994,0.00476599235627365,0.224248223874134
"A1","r2",7004,7004,0,10263.6072849198,3.5,0.811881416005104,1.83720350223712,1.45589626201639,1.279240547529,0.6,4.64995411055478,4.93537311717172,0.942168707443035,0.00389010373896099,0.757686097862041
"A1","r3",8506,8506,0,10500.2935864893,3.5,0.801823146129714,1.83690725986363,1.4845762346965,1.21332187436957,0.6,4.65584967612788,4.87943214925025,0.954178587531599,0.00431109296808444,0.399627584466277
"A1","r4",6763,6763,0,10585.8001390262,3.5,0.759582729622843,1.82735000550291,1.50176711698243,1.24788866077403,0.6,4.75250799703049,4.85968544309395,0.977945600117849,0.00365188326811028,0.865677310296649
"A1","r5",7675,7675,0,10613.3112187357,3.5,0.727108732340263,1.76316116103856,1.45896116499813,1.20691227765684,0.6,4.77334556957123,4.85338288858837,0.983508962541297,0.0042750246120527,0.508749914348797
"A2","r1",6546,6546,0,8794.07397661896,5,0.225375631292212,1.12790820088532,1.37312010831168,1.20674262634073,0.9,6.13389254283448,5.3318134641402,1.15043269688423,0.0033948079399915,0.94660413083343
"A2","r2",6844,6844,0,7942.98672294859,5,0.179987933299933,1.07064742301728,1.35915303138654,1.16596381518437,0.9,6.34075558862123,5.61019666952753,1.13021984114422,0.00282784593601554,0.991452811947781
"A2","r3",5409,5409,0,7900.69029362262,5,0.172045440683345,1.06083696394397,1.35724780458459,1.13925246340224,0.9,6.32505073750157,5.62519374826618,1.12441473495044,0.00489906537274187,0.57922135605303
"A2","r4",7465,7465,0,7687.35743774897,4.5,0.223341370547378,1.47216644329867,1.71783924438865,1.43384527277786,0.8,6.02525318572211,5.70271236286384,1.05655919540299,0.00279701552861372,0.990363173354381
"A2","r5",6457,6457,0,6622.80978517109,4.5,0.196738734938544,1.32928976939472,1.68158826125916,1.41018796267168,0.8,6.61468133771309,6.143966845295,1.07661410034765,0.00379599074285177,0.84674008732908
"A3","r1",4165,4165,0,4178.94503612981,6,0.111240449502021,0.698402220378509,1.46029187089157,1.19727165244506,1,8.03024976495496,7.73457891353974,1.03822714264349,0.00362557198512838,0.991353366726663
"A3","r2",3126,3126,0,3152.60482448572,5,0.25474147079442,0.933746588540136,1.53206382313314,1.29224442857915,0.9,8.53457260096612,8.90502691473625,0.958399416720786,0.00598514628161136,0.705872132359733
"A3","r3",4299,4299,0,4300.4501001363,5.5,0.176202375862968,0.861462737059914,1.42761037896428,1.2590549193712,1,7.83800343699325,7.6245294803561,1.02799831218269,0.00316257449027505,0.995190299777721
"A3","r4",4824,4824,0,4833.91857429325,4.5,0.247983870885826,1.30796203727334,1.86131648156749,1.55964351714218,0.8,7.26267397588302,7.19151414560019,1.00989497188521,0.00330196144515918,0.992056258262141
"A3","r5",4884,4884,0,4925.13772494087,4,0.362355370835352,1.88959952257947,2.23757662010915,1.93325818526474,0.7,6.36990037345955,7.1246053816341,0.894070623178648,0.00327393845288797,0.992135945108974
"A4","f1",19421,19421,0,19603.4854753537,5,0.152706048320602,1.26777153045014,1.116955556219,1.0936752840163,0.9,5.03740940360621,3.57111105953398,1.41060004005128,0.00469840333114352,0.00634239072564191
"A4","f2",20413,20413,0,20472.5208960962,5,0.141536121493146,1.23178754184785,1.07633177781296,1.06411345464436,0.9,5.03460150583762,3.49449435138903,1.44072389295362,0.00565815901631313,0.000156003115123204
