tp,n_a,n_b,precision_b_vs_a,recall_b_vs_a,f1_iou05,dice_binary,median_iou_matched,archetype,roi_id,method_a,method_b,density_a,density_b,delta_density_rel
678,1008,1100,0.6163636363636363,0.6726190476190477,0.6432637571157496,0.7493239722228339,0.8710657310939232,A5,r5,cellpose_rgb,cellpose_hed,1068.9590537558126,1098.8760993937578,0.027987082884822344
328,681,509,0.6444007858546169,0.48164464023494863,0.5512605042016807,0.5268285556102362,0.7981919285722278,A6,r1,cellpose_rgb,stardist_he,724.2538849981784,542.3784699313712,-0.25112107623318386
438,681,677,0.6469719350073855,0.6431718061674009,0.6450662739322534,0.6794665169170293,0.6473297747521242,A6,r1,cellpose_rgb,spaceranger,724.2538849981784,729.6668437799286,0.007473841554559113
320,509,677,0.4726735598227474,0.6286836935166994,0.5396290050590219,0.4940955276283602,0.6926447772772026,A6,r1,stardist_he,spaceranger,542.3784699313712,729.6668437799286,0.3453093812375251
471,681,644,0.7313664596273292,0.6916299559471366,0.7109433962264151,0.5566434546155047,0.818705035971223,A6,r1,cellpose_rgb,cellpose_hed,724.2538849981784,648.4724620536754,-0.10463378176382664
390,549,725,0.5379310344827586,0.7103825136612022,0.6122448979591837,0.5237516869095816,0.7557896952993416,A6,r2,cellpose_rgb,stardist_he,598.8754085517755,798.8709067694372,0.33395176252319114
388,549,887,0.4374295377677565,0.7067395264116576,0.5403899721448467,0.5145067117807366,0.62,A6,r2,cellpose_rgb,spaceranger,598.8754085517755,982.2001134689602,0.6400742115027829
585,725,887,0.6595264937993236,0.8068965517241379,0.7258064516129032,0.6604055775728795,0.6655844155844156,A6,r2,stardist_he,spaceranger,798.8709067694372,982.2001134689602,0.2294853963838664
367,549,479,0.7661795407098121,0.668488160291439,0.7140077821011673,0.5641798963962077,0.8121212121212121,A6,r2,cellpose_rgb,cellpose_hed,598.8754085517755,522.2104675683386,-0.12801484230055662
158,322,949,0.16649104320337196,0.4906832298136646,0.24862313139260425,0.16167016270763648,0.701841918834126,A6,r3,cellpose_rgb,stardist_he,306.401531407817,974.0670305903913,2.179054054054054
124,322,1099,0.11282984531392175,0.38509316770186336,0.17452498240675582,0.1372680590773925,0.5941661697475651,A6,r3,cellpose_rgb,spaceranger,306.401531407817,1121.0569544414386,2.658783783783784
766,949,1099,0.6969972702456779,0.8071654373024236,0.748046875,0.6493648047323503,0.6356982552056967,A6,r3,stardist_he,spaceranger,974.0670305903913,1121.0569544414386,0.15090329436769395
151,322,393,0.3842239185750636,0.468944099378882,0.4223776223776224,0.13492583976424374,0.7871287128712872,A6,r3,cellpose_rgb,cellpose_hed,306.401531407817,397.49387858311394,0.29729729729729726
482,634,1079,0.44670991658943465,0.7602523659305994,0.5627553998832457,0.4518060302551668,0.7195887335442392,A6,r4,cellpose_rgb,stardist_he,658.821592898685,1141.6712945345291,0.7328990228013029
408,634,1242,0.3285024154589372,0.6435331230283912,0.4349680170575693,0.41681817071511074,0.6140860942077981,A6,r4,cellpose_rgb,spaceranger,658.821592898685,1312.2781891125273,0.99185667752443
906,1079,1242,0.7294685990338164,0.8396663577386468,0.7806979750107712,0.6913917041859379,0.6534902597402598,A6,r4,stardist_he,spaceranger,1141.6712945345291,1312.2781891125273,0.1494360902255639
487,634,772,0.6308290155440415,0.7681388012618297,0.6927453769559033,0.4717427129368936,0.7571428571428571,A6,r4,cellpose_rgb,cellpose_hed,658.821592898685,811.1874987482181,0.23127035830618903
399,591,894,0.4463087248322148,0.6751269035532995,0.5373737373737374,0.3911503072173142,0.7564766839378239,A6,r5,cellpose_rgb,stardist_he,630.0245206923724,976.3730791881793,0.5497382198952879
366,591,1079,0.3392029657089898,0.6192893401015228,0.43832335329341315,0.3778395205399744,0.6326785714285714,A6,r5,cellpose_rgb,spaceranger,630.0245206923724,1175.3860604191032,0.8656195462478184
721,894,1079,0.6682113067655236,0.8064876957494407,0.7308667004561581,0.6276160184072952,0.6678200692041523,A6,r5,stardist_he,spaceranger,976.3730791881793,1175.3860604191032,0.20382882882882875
314,591,476,0.6596638655462185,0.5313028764805414,0.5885660731021556,0.34100606635275355,0.8420112465755619,A6,r5,cellpose_rgb,cellpose_hed,630.0245206923724,505.77884732721003,-0.1972076788830715
