archetype,roi_id,method,scale,um_per_px,n_keep,n_keep_native,density_rel,area_rel
A1,r1,cellpose_rgb,2,0.5475225343063054,7439,8739,0.8512415608193158,1.2619047619047619
A1,r2,cellpose_rgb,2,0.5475225343063054,5676,7004,0.8103940605368362,1.2325581395348837
A1,r3,cellpose_rgb,2,0.5475225343063054,6841,8506,0.8042558194215848,1.1594202898550725
A1,r4,cellpose_rgb,2,0.5475225343063054,5518,6763,0.8159100990684607,1.1685393258426966
A1,r5,cellpose_rgb,2,0.5475225343063054,6389,7675,0.8324429967426712,1.1584699453551912
A2,r1,cellpose_rgb,2,0.5474025044878646,5675,6546,0.8669416437519095,1.0807947019867548
A2,r2,cellpose_rgb,2,0.5474025044878646,5837,6844,0.8528638223261251,1.1398416886543536
A2,r3,cellpose_rgb,2,0.5474025044878646,4872,5409,0.9007210205213533,1.1180722891566266
A2,r4,cellpose_rgb,2,0.5474025044878646,6533,7465,0.8751507032819825,1.1044083526682134
A2,r5,cellpose_rgb,2,0.5474025044878646,5865,6457,0.9083165556760104,1.08584686774942
A3,r1,cellpose_rgb,2,0.5474025044878646,3854,4165,0.9253301320528211,1.0892857142857144
A3,r2,cellpose_rgb,2,0.5474025044878646,2843,3126,0.9094689699296226,1.1027027027027025
A3,r3,cellpose_rgb,2,0.5474025044878646,3994,4299,0.9290532682019074,1.1004784688995215
A3,r4,cellpose_rgb,2,0.5474025044878646,4671,4824,0.9682835820895522,1.0571791613722998
A3,r5,cellpose_rgb,2,0.5474025044878646,4366,4884,0.8939393939393939,1.0780141843971631
A4,f1,cellpose_rgb,2,0.547550062525532,18358,19421,0.9452654343236703,0.923076923076923
A4,f2,cellpose_rgb,2,0.547550062525532,19469,20413,0.9537549600744624,0.9735449735449736
A4,p1,cellpose_rgb,2,0.547550062525532,21055,25529,0.8247483254338203,0.9297297297297298
A4,p2,cellpose_rgb,2,0.547550062525532,23301,24254,0.9607075121629423,0.9502762430939227
A4,p3,cellpose_rgb,2,0.547550062525532,24165,25156,0.9606058196851646,0.9555555555555556
A5,r1,cellpose_rgb,2,0.5480470622275472,1143,1267,0.9021310181531176,1.2659251769464106
A5,r2,cellpose_rgb,2,0.5480470622275472,728,777,0.936936936936937,1.1763826606875933
A5,r3,cellpose_rgb,2,0.5480470622275472,623,645,0.9658914728682171,1.1135430916552669
A5,r4,cellpose_rgb,2,0.5480470622275472,498,524,0.9503816793893131,1.251028806584362
A5,r5,cellpose_rgb,2,0.5480470622275472,887,929,0.9547900968783638,1.1514644351464436
A6,r1,cellpose_rgb,2,0.5476228584084304,672,669,1.0044843049327354,1.2040133779264215
A6,r2,cellpose_rgb,2,0.5476228584084304,279,539,0.5176252319109461,1.1851851851851851
A6,r3,cellpose_rgb,2,0.5476228584084304,151,296,0.5101351351351352,10.18840579710145
A6,r4,cellpose_rgb,2,0.5476228584084304,368,614,0.5993485342019544,1.1368421052631579
A6,r5,cellpose_rgb,2,0.5476228584084304,337,573,0.5881326352530541,1.5933609958506223
A1,r1,cellpose_rgb,4,1.0950450686126108,165,8739,0.01888087881908685,5.238095238095237
A1,r2,cellpose_rgb,4,1.0950450686126108,67,7004,0.009565962307252998,4.558139534883721
A1,r3,cellpose_rgb,4,1.0950450686126108,100,8506,0.011756407241946862,5.0086956521739125
