archetype,roi_id,method,scale,um_per_px,n_labels,n_keep,label_px_sum,tissue_frac,bubble_frac,seconds,seed,flow_threshold,cellprob_threshold
A3,r5,cellpose_rgb,1,0.2737012522439323,4885,4884,2373968,0.9914366063508241,0.0,7.2,0,0.4,0.0
A3,r5,cellpose_rgb,2,0.5474025044878646,4366,4366,579440,0.9914366063508241,0.0,2.0,0,0.4,0.0
A3,r5,cellpose_rgb,4,1.0948050089757293,1497,1497,78775,0.9914404206490405,0.0,0.6,0,0.4,0.0
A4,f1,cellpose_rgb,1,0.273775031262766,19529,19421,4390213,0.9904769105922937,0.0,7.9,0,0.4,0.0
A4,f1,cellpose_rgb,2,0.547550062525532,18358,18358,960132,0.9904926886676448,0.0,2.4,0,0.4,0.0
A4,f1,cellpose_rgb,4,1.095100125051064,703,703,18291,0.9904926886676448,0.0,0.6,0,0.4,0.0
A4,f2,cellpose_rgb,1,0.273775031262766,20501,20413,4254439,0.9968900833300298,0.0,7.8,0,0.4,0.0
A4,f2,cellpose_rgb,2,0.547550062525532,19469,19469,959904,0.9968928786939054,0.0,2.4,0,0.4,0.0
A4,f2,cellpose_rgb,4,1.095100125051064,874,874,22480,0.9968928786939054,0.0,0.6,0,0.4,0.0
A4,p1,cellpose_rgb,1,0.273775031262766,25672,25529,4775339,0.9990360007700604,0.0,8.0,0,0.4,0.0
A4,p1,cellpose_rgb,2,0.547550062525532,21055,21055,904276,0.9990354727683011,0.0,2.3,0,0.4,0.0
A4,p1,cellpose_rgb,4,1.095100125051064,74,74,1413,0.9990354727683011,0.0,0.5,0,0.4,0.0
A4,p2,cellpose_rgb,1,0.273775031262766,24379,24254,4609469,0.9951575225249766,0.0,7.9,0,0.4,0.0
A4,p2,cellpose_rgb,2,0.547550062525532,23302,23301,1041909,0.9951797631629775,0.0,2.5,0,0.4,0.0
A4,p2,cellpose_rgb,4,1.095100125051064,177,177,4515,0.9951797631629775,0.0,0.5,0,0.4,0.0
A4,p3,cellpose_rgb,1,0.273775031262766,25313,25156,4577180,1.0,0.0,7.9,0,0.4,0.0
A4,p3,cellpose_rgb,2,0.547550062525532,24165,24165,1044958,1.0,0.0,2.4,0,0.4,0.0
A4,p3,cellpose_rgb,4,1.095100125051064,2,2,43,1.0,0.0,0.5,0,0.4,0.0
A5,r1,cellpose_rgb,1,0.2740235311137736,1489,1267,1205989,0.7460517494253373,0.0,6.8,0,0.4,0.0
A5,r1,cellpose_rgb,2,0.5480470622275472,1154,1143,339536,0.746073311018775,0.0,1.8,0,0.4,0.0
A5,r1,cellpose_rgb,4,1.0960941244550944,1146,1140,136295,0.746073311018775,0.0,0.6,0,0.4,0.0
A5,r2,cellpose_rgb,1,0.2740235311137736,777,777,978827,0.8401943763372404,0.0,6.7,0,0.4,0.0
A5,r2,cellpose_rgb,2,0.5480470622275472,728,728,277998,0.8402513273314867,0.0,1.8,0,0.4,0.0
A5,r2,cellpose_rgb,4,1.0960941244550944,770,770,99558,0.8402513273314867,0.0,0.6,0,0.4,0.0
A5,r3,cellpose_rgb,1,0.2740235311137736,649,645,868004,0.7805392498393378,0.0,6.6,0,0.4,0.0
A5,r3,cellpose_rgb,2,0.5480470622275472,628,623,249563,0.7806825176977532,0.0,1.8,0,0.4,0.0
A5,r3,cellpose_rgb,4,1.0960941244550944,622,615,77513,0.7806825176977532,0.0,0.6,0,0.4,0.0
A5,r4,cellpose_rgb,1,0.2740235311137736,525,524,739386,0.7481566369144559,0.0,6.6,0,0.4,0.0
A5,r4,cellpose_rgb,2,0.5480470622275472,499,498,221747,0.7483612746229609,0.0,1.8,0,0.4,0.0
A5,r4,cellpose_rgb,4,1.0960941244550944,508,507,64083,0.7483612746229609,0.0,0.6,0,0.4,0.0
A5,r5,cellpose_rgb,1,0.2740235311137736,1008,929,1052538,0.8691916104007743,0.0,6.7,0,0.4,0.0
A5,r5,cellpose_rgb,2,0.5480470622275472,887,887,302272,0.8692229820714066,0.0,1.8,0,0.4,0.0
A5,r5,cellpose_rgb,4,1.0960941244550944,907,907,115432,0.8692229820714066,0.0,0.6,0,0.4,0.0
A6,r1,cellpose_rgb,1,0.2738114292042152,682,669,241642,0.9362956155999084,0.013842885232056375,6.5,0,0.4,0.0
A6,r1,cellpose_rgb,2,0.5476228584084304,681,672,81630,0.9362956155999084,0.013842885232056375,1.8,0,0.4,0.0
A6,r1,cellpose_rgb,4,1.0952457168168608,337,308,27784,0.9362956155999084,0.013842885232056375,0.5,0,0.4,0.0
