archetype,method,scale,n_roi,n_nuclei,density_median,density_min,density_max,area_median,area_min,area_max,eq_diam_median,ecc_median,nn_median_um,nuclear_area_fraction,frac_small,frac_large
A1,cellpose_hed,1,5,46109,12476.659684769225,11969.879076140192,13551.168504587584,19.33586969947136,18.43652692275176,20.010376782011058,4.961773264994416,0.7547705571704625,4.428956779840253,0.2647872891277506,0.00947957793485942,0.0
A1,cellpose_rgb,1,5,38687,10585.800139026245,10263.607284919775,10946.908999962183,12.928052415344222,12.590798874074373,13.714977344973871,4.057150847321022,0.7970063091255968,4.655849676127877,0.1523314992746509,0.02809831162415824,0.0
A1,cellpose_rgb,2,5,31863,8637.061240151828,8317.566383381589,9318.463903274824,15.888389055379566,14.989046278659968,15.888389055379566,4.49774668555785,0.7794663079609476,5.091247206175523,0.15310641721681686,0.0,2.6881720430107527e-05
A1,cellpose_rgb,4,5,866,206.6872622718572,98.18128042398986,427.3138308375225,58.75706141234707,58.75706141234707,65.95180362610385,8.649382297172023,0.7084626252057622,13.123803292111528,0.013981382931373345,0.0,0.06805364369548024
A1,cellpose_rgb_repro,1,1,8739,10946.908999962183,10946.908999962183,10946.908999962183,12.590798874074373,12.590798874074373,12.590798874074373,4.003885990669372,0.7873924291244989,4.555255322068832,0.15190052306428803,0.03585613415710503,0.0
A1,stardist_he,1,5,20162,5483.459218338271,5299.943704087367,5832.338746289498,14.764210584480068,14.314539196120268,15.588608129806367,4.3357094878413465,0.7081822069038515,5.735426988625456,0.09435824460784487,0.000150608484397384,0.0
A1,stardist_he,2,5,1373,380.80562260996726,344.355468074194,410.7040302233869,52.161881049736685,51.26253827301709,61.904761130865666,8.149513462796197,0.6886567322957685,20.38602781843167,0.027154243136252917,0.0,0.005862708719851577
A1,stardist_he,4,5,72,17.97694408385195,8.792353470805061,31.316251859372304,239.8247404585595,190.66066866455478,353.74149217637523,17.474391072586332,0.6964693126975567,30.440497433388824,0.0046584001818838535,0.0,0.7628564070133474
A1,stardist_he_repro,1,1,4656,5832.338746289498,5832.338746289498,5832.338746289498,14.314539196120268,14.314539196120268,14.314539196120268,4.26917291394502,0.7043847249865991,5.468948676672513,0.0952526774671655,0.00021468441391155003,0.0
A2,cellpose_hed,1,5,30493,7055.145571128649,6331.516927963631,8585.842771856369,34.30986796979268,30.33951206935815,39.10426000050606,6.609438756337966,0.7719463240465811,6.341769458893544,0.2790647932449254,0.0009900386900517095,0.0
