dataset_id,archetype,sf2_keys,sf2_microns_per_pixel,sf2_bin_size_um,sf2_spot_diameter_fullres,sf2_tissue_hires_scalef,sf2_tissue_lowres_scalef,sf2_regist_target_img_scalef,um_per_px_scalefactors,um_per_px_tifftag,n_bins_2um,n_in_tissue_2um,pitch_px_sv1,pitch_px_sv2,pitch_px,pitch_px_axis1,pitch_px_axis2,grid_rotation_deg,rms_resid_px,n_fit,pitch_um_from_grid,pitch_um_axis1,pitch_um_axis2,grid_anisotropy_sv1_sv2,frac_all_bins_inside_image,frac_in_tissue_bins_inside_image,capture_area_px_est
Visium_HD_Mouse_Small_Intestine,A1,"bin_size_um,fiducial_diameter_fullres,microns_per_pixel,regist_target_img_scalef,spot_diameter_fullres,tissue_hires_scalef,tissue_lowres_scalef",0.27376126715315274,2.0,7.30563538369773,0.25404352,0.025404353,0.25404352,0.27376126715315274,264.5833333333333,11222500,5479660,7.30388184169831,7.303651045723308,7.303766442799178,7.303879804802663,7.303653082682754,-0.3816200785608635,0.10611940989214326,11222500,1.999488356371378,1.999519390497099,1.999457322762261,1.0000316000824185,0.864940877701047,0.999963318892048,24468x24468
Visium_HD_Human_Colon_Cancer,A2,"bin_size_um,fiducial_diameter_fullres,microns_per_pixel,regist_target_img_scalef,spot_diameter_fullres,tissue_hires_scalef,tissue_lowres_scalef",0.2737012522439323,2.0,7.307237301996443,0.07973422,0.007973422,0.07973422,0.2737012522439323,264.5833333333333,11222500,8176117,7.3043440908058574,7.303505407849433,7.303924737289782,7.3035100786936065,7.304339420495002,0.756114221364975,0.2587104632982908,11222500,1.9990933468916479,1.9989798543146209,1.999206846204201,1.000114832934268,0.9212343060815327,0.996406607195078,24468x24468
Visium_HD_Human_Lymph_Node_FFPE,A4,"bin_size_um,fiducial_diameter_fullres,microns_per_pixel,regist_target_img_scalef,spot_diameter_fullres,tissue_hires_scalef,tissue_lowres_scalef",0.273775031262766,2.0,7.305268091013106,0.21240442,0.021240441,0.21240442,0.273775031262766,264.5833333333333,11222500,5482441,7.305373649554405,7.304880120662899,7.305126880940846,7.3053729214469945,7.304880848819429,0.09039447167134924,0.21830055366580967,11222500,1.9999613402080523,2.000028699955315,1.9998939827563196,1.0000675615319286,0.9657435509022054,0.9970427406332325,24472x24472
Visium_HD_6p5mm_Mouse_Brain,A5,"bin_size_um,fiducial_diameter_fullres,microns_per_pixel,regist_target_img_scalef,spot_diameter_fullres,tissue_hires_scalef,tissue_lowres_scalef",0.2740235311137736,2.0,7.298643265674899,0.26840833,0.026840834,0.26840833,0.2740235311137736,264.5833333333333,11222500,6343031,7.297914995049174,7.297647146094256,7.297781069342864,7.2976869659157675,7.297875176471873,-0.06835227676532872,0.0481725734608742,11222500,1.9997637379165822,1.9997379513631992,1.9997895254843763,1.0000367034675088,0.8189500556916908,0.9990977499558177,24448x24448
Visium_HD_6p5mm_Human_Heart,A6,"bin_size_um,fiducial_diameter_fullres,microns_per_pixel,regist_target_img_scalef,spot_diameter_fullres,tissue_hires_scalef,tissue_lowres_scalef",0.27381142920421525,2.0,7.304296996705537,0.12220208,0.0122202085,0.12220208,0.27381142920421525,264.5833333333333,11222500,10615406,7.3060771549645995,7.305646816997714,7.305861982812627,7.3056853466007965,7.306038627427783,179.53877216736194,0.006009708357861798,11222500,2.000428511082667,2.0003801460690567,2.0004768783972042,1.0000589048413735,1.0,1.0,24475x24475
